epoch,lr,train_loss,val_loss,val_auc,saved_best,epochs_without_improvement
1,1.00e-04,2.7004,1.5006,0.8806,yes,0
2,9.97e-05,1.2163,1.5744,0.8864,yes,0
3,9.89e-05,1.0553,1.2454,0.9126,yes,0
4,9.76e-05,0.9364,0.8898,0.9440,yes,0
5,9.57e-05,0.8045,0.9232,0.9453,yes,0
6,9.33e-05,0.7176,0.8714,0.9495,yes,0
7,9.05e-05,0.6699,0.8969,0.9494,no,1
8,8.72e-05,0.6086,0.8024,0.9511,yes,0
9,8.35e-05,0.5107,0.7896,0.9580,yes,0
10,7.94e-05,0.4602,0.8712,0.9521,no,1
11,7.50e-05,0.4020,0.8187,0.9586,yes,0
12,7.03e-05,0.3752,0.8581,0.9622,yes,0
13,6.55e-05,0.3200,0.9054,0.9548,no,1
14,6.04e-05,0.2884,0.9297,0.9508,no,2
15,5.52e-05,0.2563,1.3310,0.9466,no,3
16,5.00e-05,0.2039,0.9644,0.9590,no,4
17,4.48e-05,0.1787,1.0777,0.9476,no,5
18,3.96e-05,0.1692,0.9672,0.9647,yes,0
19,3.45e-05,0.1303,1.0849,0.9589,no,1
20,2.97e-05,0.1194,1.1821,0.9605,no,2
21,2.50e-05,0.1297,1.1897,0.9588,no,3
22,2.06e-05,0.1188,1.3071,0.9616,no,4
23,1.65e-05,0.0863,1.3822,0.9625,no,5
24,1.28e-05,0.0765,1.5809,0.9616,no,6
25,9.55e-06,0.0654,1.5045,0.9642,no,7
